code_commune,code_dep_min,ROUSSEL,MÉLENCHON,MACRON,JADOT,DUPONT-AIGNAN,POUTOU,LASSALLE,HIDALGO,ARTHAUD,PÉCRESSE,LE PEN,ZEMMOUR
99000,99,13638,54080,339735,57389,2120,5520,1607,6196,8227,129650,220485,57746
59001,59,10,70,43,17,1,0,4,0,0,39,37,17
60001,60,10,93,48,18,7,1,0,0,8,34,55,15
25001,25,5,21,29,3,6,4,4,0,2,15,25,9
44001,44,44,131,255,70,9,11,0,21,6,200,179,79
02001,02,15,83,37,15,1,8,5,0,5,31,47,10
91001,91,10,27,32,8,0,5,0,0,2,29,29,6
70001,70,6,55,34,4,0,2,2,8,1,25,24,11
39001,39,27,92,78,20,1,5,5,10,4,87,72,18
37001,37,30,91,129,30,0,5,2,21,6,91,115,33
62001,62,40,288,162,45,8,17,9,22,10,150,129,48
51001,51,3,19,19,2,0,2,4,0,5,2,19,9
14001,14,24,107,145,44,9,6,5,0,4,85,122,45
94001,94,74,216,518,140,7,14,17,56,28,442,359,136
57001,57,12,42,32,4,0,1,3,13,7,30,26,7
28001,28,46,244,216,44,14,15,5,20,5,147,223,51
33001,33,36,181,238,62,5,6,0,25,9,222,163,66
58001,58,4,16,10,2,1,0,0,20,0,7,8,3
18001,18,14,49,40,6,0,0,0,5,1,28,28,11
77001,77,42,135,136,33,3,5,1,0,3,120,107,32
27001,27,9,46,34,6,6,0,2,1,0,24,30,9
45001,45,6,29,26,11,2,0,0,0,3,4,20,10
86001,86,11,69,73,17,3,2,0,5,5,71,56,27
19001,19,5,39,59,14,0,5,5,0,3,28,37,13
47001,47,556,2755,2298,633,92,120,37,287,124,2043,2005,606
12001,12,24,99,162,42,2,9,0,36,8,118,127,38
21001,21,9,37,47,10,6,6,5,0,5,29,43,10
52001,52,14,59,25,4,1,4,0,15,1,23,31,2
32001,32,14,80,92,28,1,0,4,19,4,71,63,26
09001,09,3,3,10,0,2,0,5,0,0,6,2,2
36001,36,36,160,141,41,12,9,3,0,0,129,126,42
40001,40,133,497,657,225,21,26,7,132,27,554,462,232
61001,61,530,2196,1990,476,88,104,45,80,83,1336,2272,466
56001,56,100,347,564,157,19,24,12,25,13,321,396,141
22001,22,11,54,88,19,6,0,0,0,0,57,60,24
76001,76,35,148,131,38,4,11,5,0,4,132,99,40
41001,41,3,27,15,4,6,4,0,0,0,16,21,6
90001,90,34,142,122,27,6,6,6,0,10,105,94,36
93001,93,601,2552,4490,1608,105,207,37,219,323,6122,2381,1578
71001,71,28,104,103,24,0,5,0,1,0,82,88,25
79001,79,21,82,128,29,8,3,4,8,0,89,89,39
85001,85,101,321,467,96,21,19,2,14,9,256,457,94
88001,88,0,5,4,3,0,5,0,6,0,7,1,1
986001,986,73,330,1414,1099,51,38,12,0,43,154,1264,1164
25002,25,14,42,41,11,5,4,1,0,0,36,33,7
60002,60,22,134,88,13,1,6,6,1,0,67,75,13
39002,39,6,6,1,0,0,0,3,0,0,0,9,0
62002,62,8,33,19,8,0,0,0,5,0,26,14,6
95002,95,15,62,98,23,8,5,5,22,5,100,79,20
70002,70,8,39,16,5,5,0,3,0,6,12,16,10
57002,57,6,5,2,6,2,0,0,3,0,4,3,4
59002,59,87,508,365,110,8,13,5,28,19,397,309,101
02002,02,15,107,49,14,2,0,5,0,2,42,50,10
27002,27,14,56,37,8,0,4,3,0,0,41,46,13
79002,79,12,23,35,15,1,0,0,3,4,22,22,11
21002,21,12,42,33,8,6,3,0,0,0,22,42,12
47002,47,0,22,19,2,5,3,0,0,1,0,13,2
50002,50,114,411,510,117,5,24,5,50,20,336,449,125
12002,12,24,65,116,21,4,4,0,15,0,81,87,30
88002,88,6,8,2,0,0,2,5,0,0,0,10,0
44002,44,85,231,500,133,13,21,2,15,15,372,341,146
52002,52,0,4,0,0,0,0,2,0,0,2,0,5
89002,89,1,12,6,0,4,2,0,0,0,10,15,4
09002,09,15,61,64,29,0,4,0,6,8,87,33,20
45002,45,9,41,42,12,5,0,4,10,3,30,36,8
33002,33,14,74,108,25,5,9,4,0,2,78,60,31
10002,10,7,34,30,7,0,0,0,5,6,18,32,2
18002,18,0,26,22,5,3,5,0,0,0,0,21,6
19002,19,6,34,56,18,0,0,5,7,1,47,32,17
36002,36,7,10,10,0,3,0,0,1,6,14,10,7
94002,94,636,1679,4226,1121,65,126,53,210,166,3439,2972,1092
58002,58,22,118,109,29,6,3,4,0,6,76,86,30
49002,49,64,198,310,68,17,16,3,16,9,220,285,75
61002,61,17,81,67,14,3,0,0,0,0,44,78,21
76002,76,12,75,60,16,6,0,0,0,4,67,50,16
86002,86,7,38,57,17,7,0,3,0,7,46,40,14
37002,37,38,129,187,44,8,4,0,30,10,136,146,51
56002,56,46,198,323,91,11,9,5,21,10,206,243,83
77002,77,22,82,79,26,3,6,2,0,5,66,60,14
