datetime,dep,tx_incidence,tx_positivite,taux_occupation_sae
2021-09-01,79,84.8,1.98,40.3
2021-09-01,86,65.6,1.57,40.3
2021-09-01,72,72.5,1.75,23.8
2021-09-01,972,524.0,10.27,573.1
2021-09-01,35,120.7,2.5,27.8
2021-09-01,976,46.2,3.02,0.0
2021-09-01,2A,137.9,1.32,100.0
2021-09-01,53,68.8,1.74,23.8
2021-09-01,28,107.1,2.62,27.8
2021-09-01,88,75.7,1.52,25.2
2021-09-01,07,154.8,2.82,37.0
2021-09-01,89,84.6,1.93,19.2
2021-09-01,17,71.2,1.43,40.3
2021-09-01,87,73.4,1.86,40.3
2021-09-01,84,310.5,3.65,77.0
2021-09-01,14,64.1,1.41,26.7
2021-09-01,54,88.0,1.79,25.2
2021-09-01,77,149.2,2.35,37.9
2021-09-01,04,236.1,3.21,77.0
2021-09-01,82,162.2,2.63,65.6
2021-09-01,36,86.6,2.38,27.8
2021-09-01,41,85.4,2.2,27.8
2021-09-01,29,77.4,1.68,27.8
2021-09-01,27,85.7,2.24,26.7
2021-09-01,22,119.3,2.82,27.8
2021-09-01,48,91.8,1.92,65.6
2021-09-01,76,92.7,2.2,26.7
2021-09-01,50,50.1,1.42,26.7
2021-09-01,55,78.7,1.8,25.2
2021-09-01,03,53.4,1.45,37.0
2021-09-01,65,160.9,2.65,65.6
2021-09-01,93,201.0,2.41,37.9
2021-09-01,74,168.6,2.84,37.0
2021-09-01,49,93.0,2.24,23.8
2021-09-01,90,159.1,2.89,19.2
2021-09-01,25,115.1,2.31,19.2
2021-09-01,47,115.6,2.03,40.3
2021-09-01,42,136.8,2.59,37.0
2021-09-01,45,111.2,2.66,27.8
2021-09-01,56,96.4,2.2,27.8
2021-09-01,30,286.3,3.85,65.6
2021-09-01,59,137.4,2.46,34.0
2021-09-01,70,76.3,1.89,19.2
2021-09-01,95,176.6,2.38,37.9
2021-09-01,60,109.0,2.25,34.0
2021-09-01,61,63.6,1.68,26.7
2021-09-01,24,110.2,2.31,40.3
2021-09-01,46,128.2,2.17,65.6
2021-09-01,44,105.1,2.15,23.8
2021-09-01,40,85.2,1.96,40.3
2021-09-01,11,186.5,2.72,65.6
2021-09-01,2B,183.3,2.0,100.0
2021-09-01,57,137.9,2.3,25.2
2021-09-01,83,287.4,2.85,77.0
2021-09-01,51,95.4,2.0,25.2
2021-09-01,21,91.0,2.14,19.2
2021-09-01,68,197.8,2.85,25.2
2021-09-01,02,74.7,2.03,34.0
2021-09-01,37,79.6,1.94,27.8
2021-09-01,62,82.5,1.83,34.0
2021-09-01,15,53.9,1.25,37.0
2021-09-01,12,121.4,2.19,65.6
